,0
54,"Senior Associate / Associate, FullStack Developer, Group Consumer Banking and Big Data Analytics Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Work along-side the team's lead solution architect to define
Full time
3 hours ago

Competitive"
55,"VP/AVP, Technical Analyst, Consumer Finance, Group Consumer Banking and Big Data Analytics Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Identifying and documenting requirements in form of integrati
Full time
3 hours ago

Competitive"
56,"VP, Solution Architect (Branch & Self-Service Banking) Group Consumer Banking and Big Data Analytics Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Drive a target and consistent application architecture acro
Full time
3 hours ago

Competitive"
57,"AVP, Specialist, Quality Assurance Engineer, EA-SRE, Technology & Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Job Purpose Act as the independent Software Quality Assur
Full time
3 hours ago

Competitive"
58,"IWM - KYC Specialist - Operations Associate
Save
Nomura Asia Singapore
Function Overview The KYC Controls team has a regional exposure covering the controls against money laundering and terrorist financing for different entities of Nomura in the region. The requirements for compliance are conferred by regulations and guidelines in different countries. The WMD KYC team focuses primarily on wealth management business but the role can expand to Institutional clients in future.
Responsibilities All existing clients KYC is refreshed on periodic basis and necessary
Full time
3 hours ago

SGD104552 - SGD105552 per annum"
59,"Senior Cyber Threat Analysis
Save
TENTEN PARTNERS PTE. LTD. Singapore
My cyber security centric client is looking for a senior cyber threat analysis to join their research labs in Singapore. You will be working with state-of-the art technologies and a highly qualified team to perform threat hunting and threat intelligence. This is a full time position based in Singapore.
Key Responsibilities: Conduct deep investigation to form threat actor's modus operandi, capabilities and origin to produce actionable cyber threat intelligence Perform threat hunting to dete
Full time
3 hours ago

130,000 (annual base) + bonus"
60,"Program Manager
Save
TEKsystems (Allegis Group Singapore Pte Ltd) Singapore
The esteemed organisation is a well-established and renowned technology conglomerate looking for dynamic individuals to join their team.
The Position: Management of in-market vendor operations against program KPI’s Make data-informed decisions to drive performance, resource allocation and juggle competing priorities Provide regular feedback on program progress and leading program communication to internal teams, including tracking and reporting on KPIs Work effectively in highly collaborat
Full time
3 hours ago

Competitive"
61,"Senior Presales/ Solutions Engineer APAC
Save
Datasearch Consulting Singapore
Specialising in global trade and supply chain solutions | International financial technology firm | Singapore based
We are partnering with a fast-growing tech vendor that provides dynamic technology for global trade and supply chains. Although only less than five years old, the company already has a highly-prized network of the leading banking and corporate institutions across the globe.   We are helping the company to hire one of their early-stage pre-sales/ sales support talents in the A
Full time
3 hours ago

$200,000-230,000 OTE + Stocks/Options"
62,"Premier Relationship Manager (Indonesia) - Wealth and Personal Banking
Save
HSBC Singapore
The health and safety of our employees and candidates is very important to us. Due to the current situation related to the Novel Coronavirus (2019-nCoV), we're leveraging our digital capabilities to ensure we can continue to recruit top talent at HSBC.  As your application progresses, you may be asked to use one of our digital tools to help you through your recruitment journey.  If so, one of our  Resourcing colleagues will explain how our video-interviewing technology will be used throughout th
Full time
3 hours ago

Not Specified"
63,"Director, ePMO
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where ever
Full time
3 hours ago

Competitive"
64,"Head,Model Validation,Non-Financial Risk & other models
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
65,"Relationship Manager, Priority Clients
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
66,"BPM Group Enterprise Risk Management
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
67,"Senior Operational Risk Officer, Stress Testing
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
68,"Product Finance - FM Projects Finance Data SME
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
69,"Squad Lead, HR PMO & Change Office
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
70,"Associate, OBL Singapore
Save
Standard Chartered Bank Singapore
About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where eve
Full time
3 hours ago

Competitive"
71,"Lead, Digital Marketing and AdTech - Digital Venture
Save
Standard Chartered Bank Singapore
We're looking for a Lead - Digital Marketing & AdTech to work onsite within our Digital Venture office. We're a small, but growing venture, with new and exciting problems to solve. We work in project-based sprints in small, interdisciplinary teams. As a Lead - Digital Marketing & AdTech, you'd be able to work on and solve some of the many interesting challenges we are facing, learn new ways of working, and build delightful high quality products for our customers. Job Description The Lea
Full time
3 hours ago

Competitive"
